ville_id;date;condition;temperature;duree_ensoleillement;pluie;vent
1;2025-11-15;6;12.14747;3137.1309;0.70000005;26.178707
1;2025-11-16;1;8.873925;11569.626;0.2;28.673721
1;2025-11-17;1;6.984726;28183.871;0.0;7.9526596
1;2025-11-18;3;5.7248974;22818.717;0.70000005;33.56312
1;2025-11-19;3;3.0970082;28047.734;0.5;34.979332
1;2025-11-20;3;3.5683203;0.0;1.8000001;23.051247
1;2025-11-21;3;8.699995;10746.483;0.6;30.10685
1;2025-11-22;1;10.057358;9028.306;0.0;25.006397
2;2025-11-15;1;11.866299;11964.87;0.6;27.887802
2;2025-11-16;1;8.869555;17154.965;0.0;28.97944
2;2025-11-17;1;7.2476482;28393.879;0.0;7.208994
2;2025-11-18;3;5.410615;21415.092;1.1000001;33.371437
2;2025-11-19;3;2.0373263;28151.82;1.3000002;40.031284
2;2025-11-20;3;4.1814175;0.0;1.5;26.220753
2;2025-11-21;1;8.580804;10688.032;0.0;32.209442
2;2025-11-22;1;9.936255;12877.666;0.0;28.712116
3;2025-11-15;1;11.344653;3005.3547;0.3;24.43761
3;2025-11-16;4;7.988714;14846.81;0.3;25.476198
3;2025-11-17;1;6.832876;10760.058;0.0;6.489992
3;2025-11-18;3;5.410756;27680.225;0.8;25.984919
3;2025-11-19;3;1.313663;27604.684;2.1999998;36.58918
3;2025-11-20;3;2.5489979;7758.5674;0.3;19.652176
3;2025-11-21;1;8.110043;11325.298;0.0;22.79684
3;2025-11-22;1;11.18713;17171.209;0.0;25.96496
4;2025-11-15;4;12.705046;465.09534;0.0;18.899143
4;2025-11-16;4;8.313879;27135.285;0.0;43.53024
4;2025-11-17;6;7.930785;2899.0376;0.70000005;11.885453
4;2025-11-18;6;7.8685207;27446.398;1.2;24.569836
4;2025-11-19;3;2.282434;22028.738;1.4000001;36.409866
4;2025-11-20;1;4.7899933;22035.484;0.0;18.448023
4;2025-11-21;3;8.6389;521.4212;0.9000001;20.421871
4;2025-11-22;1;10.962755;1314.2366;0.0;27.684914
5;2025-11-15;3;12.335291;0.0;2.4;17.713316
