modele,kilometrage,puissance,parking,GPS,Climatisation,Boite_auto,Systeme_GetAround,Regulateur,Pneus_hiver,rental_price_per_day,catégorie,type_km,couleur,essence,type
Citroën,140411,100,True,True,False,False,True,True,True,106,Généraliste,km élevé,Noir,diesel,Cabriolet
Citroën,183297,120,False,False,False,False,True,False,True,101,Généraliste,km élevé,Blanc,diesel,Cabriolet
Citroën,128035,135,True,True,False,False,True,True,True,158,Généraliste,km élevé,Rouge,diesel,Cabriolet
Citroën,97097,160,True,True,False,False,False,True,True,183,Généraliste,km standard,Argent,diesel,Cabriolet
Citroën,152352,225,True,True,False,False,True,True,True,131,Généraliste,km élevé,Noir,essence,Cabriolet
Citroën,205219,145,True,True,False,False,True,True,True,111,Généraliste,km élevé,Gris,diesel,Cabriolet
Citroën,115560,105,True,True,False,False,False,True,True,78,Généraliste,km standard,Blanc,essence,Cabriolet
Peugeot,123886,125,True,False,False,False,False,True,True,79,Généraliste,km élevé,Noir,essence,Cabriolet
Citroën,139541,135,False,False,False,False,True,False,True,132,Généraliste,km élevé,Blanc,diesel,Cabriolet
Citroën,77115,135,True,True,False,False,True,False,True,139,Généraliste,km standard,Bleu,diesel,Cabriolet
Citroën,228000,145,True,True,False,False,True,False,True,115,Généraliste,km élevé,Noir,diesel,Cabriolet
Citroën,132025,135,True,True,False,False,True,True,True,147,Généraliste,km élevé,Bleu,diesel,Cabriolet
Citroën,77061,135,True,True,False,False,True,True,True,191,Généraliste,km standard,Noir,diesel,Cabriolet
Peugeot,174631,120,True,True,False,False,False,False,True,102,Généraliste,km élevé,Noir,diesel,Cabriolet
Peugeot,208945,130,True,True,False,False,True,False,True,91,Généraliste,km élevé,Gris,diesel,Cabriolet
Peugeot,21167,135,False,False,True,False,False,False,False,148,Généraliste,km faible,Blanc,essence,Cabriolet
Peugeot,24521,270,True,False,False,False,False,False,True,96,Généraliste,km faible,Gris,essence,Cabriolet
Citroën,205474,145,True,True,False,False,True,True,True,105,Généraliste,km élevé,Gris,diesel,Cabriolet
