Code_Dpt,Departement,Region,annee,densite,pop_globale,tranche_age_0-24,tranche_age_25-59,tranche_age_60+,csp1_agriculteurs,csp2_artisans_commercant_chef_entreprises,csp3_cadres_professions_intellectuelles,csp4_professions_intermediaires,csp5_employes,csp6_ouvriers,csp7_retraites,csp8_sans_activite,nb_salaries_secteur_agricole,nb_salaries_secteur_industrie,nb_salaries_secteur_service,nbre_entreprises_agricole,nbre_entreprises_industrie,nbre_entreprises_service,Deblais_gravats,Dechets_verts,Encombrants,Materiaux_recyclables
01,Ain,Auvergne-Rhône-Alpes,2021,115.1,665920,199971,305487,160462,3215,21814,50815,89229,85057,77663,134845,203282,5154,63527,160069,3301.0,6912.0,20192.0,49564,51877,38839,41034
02,Aisne,Hauts-de-France,2021,71.7,527108,155607,224371,147130,4242,11771,20153,52646,69928,70579,125360,172429,7757,35099,128021,3593.0,3792.0,12493.0,33505,34415,42910,20426
03,Allier,Auvergne-Rhône-Alpes,2021,45.6,334936,82510,132244,120182,4665,9541,13097,32225,43896,36443,104580,90489,5702,27101,89247,2913.0,3114.0,9144.0,21817,28308,18382,15303
04,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,2021,24.0,166603,41294,69100,56209,2135,7550,8931,18539,20888,14915,47145,46500,3223,10731,47164,1717.0,2411.0,7436.0,22352,17849,10802,10348
05,Hautes-Alpes,Provence-Alpes-Côte d'Azur,2021,25.4,140617,33654,59828,47135,1882,6572,6645,17784,19591,11730,40317,36096,2471,7594,48714,1464.0,1889.0,6693.0,11584,7634,9330,9580
06,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2021,256.8,1105969,287412,474934,343623,1345,49246,92459,126019,156333,79565,273573,327429,1970,59101,366276,1181.0,8330.0,31046.0,91198,71409,61872,32622
07,Ardèche,Auvergne-Rhône-Alpes,2021,59.9,331699,84214,138347,109138,3937,12711,15551,37144,41159,35783,94352,91062,5010,27165,78679,3252.0,4118.0,12143.0,26352,24783,23758,21740
08,Ardennes,Grand Est,2021,51.4,269511,74735,115690,79086,2605,6761,9488,27539,35499,35967,65892,85760,3852,23898,63537,2425.0,2501.0,7024.0,17939,13418,21907,13551
09,Ariège,Occitanie,2021,31.6,154920,37874,64323,52723,2282,6174,6686,16261,21811,14565,44632,42509,2689,12053,42499,1914.0,2255.0,6228.0,16548,20286,7386,11480
10,Aube,Grand Est,2021,51.9,312294,93390,130371,88533,4080,7762,14728,31950,40625,37753,76557,98839,7275,24689,84028,2682.0,2804.0,8675.0,16200,14076,17033,6652
